,RuleSet
1/23/2014 17:33:29,"SavedRules:3
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|temperature is between|60 F|71 F|-|-|-|-|turn on the heating|
Rule_2|it is sunny|-|-|-|-|-|-|close curtains|
Rule_3|it is rainy|-|-|-|-|-|-|open curtains|
"
1/23/2014 17:36:32,"SavedRules:3
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the heating|
Rule_2|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_3|it is between (time)|-|-|00.00|06.00|-|-|turn off the heating|
"
1/23/2014 19:36:12,"SavedRules:9
Rule_0|it is between (time)|-|-|00.00|06.00|-|-|turn off the heating|
Rule_1|it is between (time)|-|-|19.00|23.59|-|-|turn off the heating|
Rule_2|someone is in the room|-|-|00.00|06.00|-|-|turn on the light|
Rule_3|someone is in the room|-|-|-|-|-|-|turn on the heating|
Rule_4|it is sunny|-|-|-|-|-|-|turn off the light|
Rule_5|it is sunny|-|-|-|-|-|-|open curtains|
Rule_6|it is between (day)|-|-|-|-|Saturday|Sunday|turn off the heating|
Rule_7|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_8|temperature is between|24 C|28 C|-|-|-|-|turn off the heating|
Rule_9|temperature is between|15 C|21 C|-|-|-|-|turn on the heating|
"
1/23/2014 19:47:45,"SavedRules:3
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_2|temperature is between|60 F|70 F|-|-|-|-|turn on the heating|
Rule_3|temperature is between|78 F|83 F|-|-|-|-|turn off the heating|
"
1/23/2014 20:46:50,"SavedRules:2
Rule_0|Select a trigger|-|-|-|-|-|-|Select an action|
Rule_1|Select a trigger|-|-|-|-|-|-|Select an action|
Rule_2|Select a trigger|-|-|-|-|-|-|Select an action|
"
1/23/2014 21:39:23,"SavedRules:2
Rule_0|someone is in the room|19 C|21 C|-|-|-|-|open curtains|
Rule_1|it is between (time)|-|-|07.00|19.00|-|-|turn on the heating|
Rule_2|nobody is in the room|-|-|-|-|-|-|close curtains|
"
1/23/2014 22:21:52,"SavedRules:2
Rule_0|it is sunny|-|-|-|-|-|-|turn off the light|
Rule_1|it is between (time)|-|-|13.00|14.00|-|-|open the window|
Rule_2|it is between (day)|-|-|-|-|Sunday|Monday|turn on the heating|
"
1/23/2014 22:31:47,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|Select a trigger|-|-|-|-|-|-|Select an action|
Rule_2|Select a trigger|-|-|-|-|-|-|Select an action|
"
1/23/2014 22:42:12,"SavedRules:2
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|it is rainy|-|-|-|-|-|-|close the window|
Rule_2|nobody is in the room|-|-|-|-|-|-|close the window|
"
1/23/2014 22:50:25,"SavedRules:4
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the heating|
Rule_2|nobody is in the room|-|-|-|-|-|-|turn off the coffee machine|
Rule_3|temperature is between|15 C|18 C|-|-|-|-|turn on the heating|
Rule_4|temperature is between|23 C|28 C|-|-|-|-|turn off the heating|
"
1/23/2014 22:59:02,"SavedRules:2
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|it is sunny|-|-|-|-|-|-|close curtains|
Rule_2|it is rainy|-|-|-|-|-|-|open curtains|
"
1/23/2014 23:22:34,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|it is sunny|-|-|-|-|-|-|turn off the light|
Rule_2|it is between (time)|-|-|08.00|09.00|-|-|turn on the coffee machine|
"
1/23/2014 23:27:18,"SavedRules:4
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|someone is in the room|-|-|-|-|-|-|turn on the coffee machine|
Rule_2|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_3|someone is in the room|-|-|-|-|-|-|open curtains|
Rule_4|nobody is in the room|-|-|-|-|-|-|close curtains|
"
1/23/2014 23:33:39,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|it is sunny|20 C|-|-|-|-|-|close curtains|
Rule_2|temperature is between|18 C|21 C|-|-|-|-|turn off the heating|
"
1/23/2014 23:53:37,"SavedRules:2
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|open the window|
Rule_2|it is between (time)|-|-|07.00|09.00|-|-|turn on the coffee machine|
"
1/24/2014 0:05:29,"SavedRules:8
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_2|it is rainy|-|-|-|-|-|-|close the window|
Rule_3|it is sunny|-|-|-|-|-|-|close curtains|
Rule_4|it is rainy|-|-|-|-|-|-|open curtains|
Rule_5|nobody is in the room|-|-|-|-|-|-|turn off the heating|
Rule_6|someone is in the room|-|-|-|-|-|-|turn on the heating|
Rule_7|it is between (time)|-|-|19.00|06.00|-|-|turn on the light|
Rule_8|Select a trigger|-|-|-|-|-|-|Select an action|
"
1/24/2014 0:08:38,"SavedRules:2
Rule_0|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_2|temperature is between|60 F|70 F|-|-|-|-|turn on the heating|
"
1/24/2014 0:11:06,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|temperature is between|15 C|19 C|-|-|-|-|turn on the heating|
Rule_2|nobody is in the room|-|-|-|-|-|-|turn off the coffee machine|
"
1/24/2014 0:17:39,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|close the window|
Rule_2|nobody is in the room|-|-|-|-|-|-|close curtains|
"
1/24/2014 0:19:51,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|nobody is in the room|-|-|-|-|-|-|turn off the heating|
Rule_2|it is between (time)|-|-|08.00|17.00|-|-|turn on the heating|
"
1/24/2014 0:25:44,"SavedRules:4
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|temperature is between|21 C|28 C|-|-|-|-|turn off the heating|
Rule_2|someone is in the room|-|-|-|-|-|-|turn on the light|
Rule_3|it is sunny|-|-|-|-|-|-|close curtains|
Rule_4|it is rainy|-|-|-|-|-|-|close the window|
"
1/24/2014 0:35:38,"SavedRules:2
Rule_0|nobody is in the room|-|-|-|-|-|-|turn off the light|
Rule_1|it is sunny|-|-|-|-|-|-|turn off the heating|
Rule_2|it is sunny|-|-|-|-|-|-|close curtains|
"
